Date,Open,Close,High,Low,Volume,Timestamp
2021-01-28 03:00,31084.0,31192.613428,31197.0,31084.0,7.94735777,1611802800000
2021-01-28 02:59,31108.0,31083.0,31108.664385,31083.0,2.87659364,1611802740000
2021-01-28 02:58,31117.0,31119.0,31124.0,31105.0,0.5271026,1611802680000
2021-01-28 02:57,31103.0,31126.0,31139.0,31103.0,4.98761466,1611802620000
2021-01-28 02:56,31071.0,31103.0,31103.0,31071.0,1.52888096,1611802560000
2021-01-28 02:55,31053.0,31070.0,31091.0,31053.0,2.20688627,1611802500000
2021-01-28 02:54,31087.0,31040.6013,31087.0,31040.6013,2.91949835,1611802440000
2021-01-28 02:53,31094.0,31086.0,31100.0,31086.0,1.95695311,1611802380000
2021-01-28 02:52,31046.0,31067.0,31069.0,31046.0,2.5776,1611802320000
2021-01-28 02:51,31034.0,31046.0,31046.0,31029.0,0.44,1611802260000
2021-01-28 02:50,31071.0,31059.0,31077.0,31019.0,1.50125709,1611802200000
2021-01-28 02:49,31026.0,31050.0,31050.0,31021.0,3.8597639999999998,1611802140000
2021-01-28 02:48,31039.0,31020.837771,31059.0,31019.0,1.18164,1611802080000
2021-01-28 02:47,31050.0,31050.0,31050.0,31011.84225,2.60182854,1611802020000
2021-01-28 02:46,31139.0,31053.0,31141.0,31051.0,4.20233177,1611801960000
2021-01-28 02:45,31157.0,31134.0,31173.0,31133.0,1.86191051,1611801900000
2021-01-28 02:44,31196.0,31157.0,31198.0,31146.0,5.36319768,1611801840000
2021-01-28 02:43,31205.0,31192.0,31240.0,31181.0,18.29140921,1611801780000
2021-01-28 02:42,31103.0,31205.0,31205.0,31103.0,8.07694514,1611801720000
2021-01-28 02:41,31053.0,31096.468503,31111.0,31053.0,4.53413084,1611801660000
2021-01-28 02:40,31022.0,31038.0,31040.0,31020.50295561,6.633481,1611801600000
2021-01-28 02:39,31109.0,31035.0,31109.0,31022.0,1.65026283,1611801540000
2021-01-28 02:38,31118.0,31108.0,31129.0,31096.46597456,1.6497923,1611801480000
2021-01-28 02:37,31120.0,31128.0,31139.0,31112.76795,1.55778105,1611801420000
2021-01-28 02:36,31050.0,31114.0,31146.325635,31040.0,6.77309321,1611801360000
2021-01-28 02:35,31070.0,31045.0,31085.0,31045.0,5.4026000000000005,1611801300000
2021-01-28 02:34,31074.0,31090.0,31090.0,31017.0,2.10145741,1611801240000
2021-01-28 02:33,31036.0,31075.0,31122.0,31036.0,4.49385425,1611801180000
2021-01-28 02:32,31056.0,31039.0,31056.0,30995.89110507,1.34655685,1611801120000
2021-01-28 02:31,31019.01826384,31055.0,31068.0,31019.01826384,0.4544,1611801060000
2021-01-28 02:30,31023.0,31032.0,31074.0,31010.0,2.38923342,1611801000000
2021-01-28 02:29,31073.0,31015.0,31073.0,31009.886226,2.30663268,1611800940000
2021-01-28 02:28,31102.0,31065.0,31113.63347904,31038.42031794,4.5264479699999995,1611800880000
2021-01-28 02:27,31075.0,31122.0,31130.0,31075.0,0.42945809,1611800820000
2021-01-28 02:26,31132.0,31084.0,31195.0,31072.0,4.452875,1611800760000
2021-01-28 02:25,31051.0,31126.0,31132.0,31016.0,1.91130842,1611800700000
2021-01-28 02:24,31140.0,31067.0,31140.0,31049.0,8.29630361,1611800640000
2021-01-28 02:23,31231.0,31143.92027865,31234.0,31135.0,3.90451156,1611800580000
2021-01-28 02:22,31185.0,31228.63270995,31310.0,31185.0,17.38986311,1611800520000
2021-01-28 02:21,31184.0,31185.0,31185.0,31159.0,0.73278694,1611800460000
2021-01-28 02:20,31135.0,31184.0,31185.0,31135.0,3.89331603,1611800400000
2021-01-28 02:19,31137.0,31142.35123146,31164.0,31114.0,5.43502084,1611800340000
